word,count
hot sour soup,1706
beef noodle soup,1534
chicken fried rice,967
kung pao chicken,948
sweet sour chicken,844
dim sum dim,666
sum dim sum,665
pork fried rice,652
dim sum place,558
xiao long bao,536
sweet sour pork,509
black bean sauce,484
pho kim long,455
shrimp fried rice,428
wonton noodle soup,425
dim sum dish,416
pan fried noodle,416
jade red chicken,392
honey walnut shrimp,373
pan fried dumpling,362
bbq pork bun,360
sweet sour sauce,354
dim sum cart,345
salt pepper pork,311
chicken chow mein,287
ping pang pong,276
dim sum vega,275
wing hot wing,272
hot wing hot,271
fried rice egg,267
green onion pancake,266
noodle soup noodle,266
rice noodle roll,265
salt pepper shrimp,264
chinese dim sum,263
chicken orange chicken,255
pepper pork chop,253
fried rice chicken,253
dim sum restaurant,252
jerk fried rice,252
chicken lettuce wrap,252
soup egg roll,251
vegetable fried rice,249
chicken pad thai,249
house fried rice,243
pork belly bao,240
rice fried rice,236
fried rice fried,234
chicken mongolian beef,230
tom yum soup,220
thai iced tea,220
rice egg roll,219
vega dim sum,209
chinese la vega,208
spicy beef noodle,208
dim sum item,203
noodle soup beef,203
dim sum chinese,201
fried rice noodle,193
salt pepper chicken,192
pork soup dumpling,187
salt pepper squid,185
dish dim sum,184
egg roll crab,183
chicken sweet sour,180
chicken egg roll,179
spicy tuna roll,172
shrimp lobster sauce,170
fried rice dish,170
craving dim sum,166
soft shell crab,166
chilean sea bass,163
soup hot sour,161
shang beef noodle,160
sizzling rice soup,158
beef fried rice,158
mango sticky rice,155
chicken kung pao,154
http www com,152
ding tai fung,152
noodle hand noodle,148
beef brisket noodle,143
rib grilled cheese,143
kung pao shrimp,140
short rib grilled,138
fried rice beef,137
dumpling pan fried,137
fried chicken wing,136
cart dim sum,134
noodle soup broth,134
pepper chicken wing,133
dim sum la,133
sum la vega,132
chow fried rice,129
pan fried pork,129
www com biz_photos,126
roll crab puff,125
rice orange chicken,125
baby bok choy,125
egg flower soup,124
chicken noodle soup,124
restaurant la vega,124
dim sum fresh,121
white meat chicken,121
fried rice shrimp,121
pineapple fried rice,121
stir fried noodle,120
green tea ice,120
soup fried rice,120
cantonese chow mein,120
singapore rice noodle,119
chow mein noodle,118
house special chicken,117
noodle soup soup,117
roll egg roll,116
bbq pork fried,116
combination fried rice,116
pork belly bun,116
fried rice orange,115
rice noodle dish,115
tea ice cream,114
noodle soup spicy,114
roasted milk tea,114
noodle beef noodle,113
noodle fried rice,111
egg roll fried,110
braised beef noodle,110
veggie fried rice,109
dumpling soup dumpling,109
wor wonton soup,108
fried rice chinese,107
shrimp wonton soup,107
egg fried rice,107
special fried rice,107
pork chop rice,106
beef chow mein,105
salt pepper calamari,105
place dim sum,104
rice noodle soup,104
din tai fung,104
rice spring roll,103
knife shaved noodle,102
beef tendon noodle,102
fried pork chop,101
pork chive dumpling,101
noodle noodle soup,99
sea bass skewer,99
char kway teow,98
fat choy burger,98
beef rice noodle,97
roll spring roll,97
egg noodle soup,97
fried pork dumpling,97
rice black bean,96
chicken beef broccoli,95
taiwanese beef noodle,95
steamed pork bun,94
deep fried chicken,93
egg roll egg,92
orange chicken fried,92
orange chicken orange,92
shrimp rice noodle,91
truffle fried rice,91
moo shu pork,90
fried rice crab,90
stir fry noodle,90
dish fried rice,90
sweet sour soup,89
pork belly noodle,89
snow pea leaf,88
item dim sum,88
moo goo gai,88
chicken black bean,88
pad thai chicken,88
noodle al dente,88
noodle soup dish,88
chicken white rice,86
orange chicken chicken,86
fried rice chow,85
goo gai pan,85
fried rice little,85
soup spring roll,85
beef stew noodle,85
la vega strip,85
fried rice sweet,85
salt air margarita,85
price dim sum,84
rice sweet sour,84
dim sum craving,84
mein fried rice,83
egg roll soup,83
roll crab rangoon,83
veggie spring roll,83
chicken white meat,83
la vega chinese,83
dumpling dim sum,83
roll fried rice,82
beef orange chicken,82
shrimp pad thai,82
tea bubble tea,82
duck noodle soup,82
rice chow mein,82
char siu bao,82
har gow shrimp,82
lai wah heen,82
dim sum price,81
fried rice pork,81
bun bo hue,81
dumpling xiao long,81
dim sum little,80
eggplant garlic sauce,80
noodle soup dumpling,80
beef short rib,80
roll spicy tuna,80
fish fried rice,79
broccoli oyster sauce,79
chinese orange chicken,79
fried rice rice,79
combo fried rice,79
time dim sum,79
chicken sesame chicken,79
hot chili oil,79
seafood noodle soup,79
fresh dim sum,78
chicken hot sour,78
soup wonton soup,78
white brown rice,77
black pepper sauce,77
pad thai noodle,77
tendon noodle soup,77
u dim sum,76
chicken pork fried,76
fried rice spicy,76
fried rice tasty,76
chicken brown rice,76
thai ice tea,76
hainan chicken rice,76
chinese broccoli oyster,75
chow mein fried,75
milk tea boba,75
soup beef noodle,75
noodle pork belly,75
pho spring roll,74
pork egg roll,74
seafood hot pot,73
shark fin soup,73
veggie egg roll,73
yum yum yum,73
noodle soup pork,73
soup noodle soup,73
soup base noodle,73
egg foo yung,72
dish orange chicken,72
salt pepper wing,72
bowl noodle soup,72
rice noodle beef,72
dim sum platter,72
dim sum option,71
orange chicken mongolian,71
shrimp chow mein,71
egg roll chicken,70
pork shrimp dumpling,70
spring roll fresh,70
noodle soup wonton,70
noodle soup base,70
la vega dim,70
crab fried rice,70
chinese fried rice,69
pad thai pad,69
steamed pork dumpling,69
hand noodle noodle,69
pot hot pot,69
bao soup dumpling,69
long bao soup,69
fried turnip cake,69
beef kung pao,68
mu shu pork,68
chicken jerk fried,68
orange chicken beef,68
fresh spring roll,68
house special fried,68
duck bbq pork,68
soup hand noodle,68
place la vega,68
kim long pho,68
mein orange chicken,67
fried rice special,67
mai har gow,67
black pepper beef,67
tea milk tea,67
bbq pork rice,67
noodle rice noodle,67
sweet sour shrimp,67
yang chow fried,67
shrimp wonton noodle,67
chicken chicken fried,66
egg soup egg,66
fried rice black,66
fried green bean,66
basil fried rice,66
